127.0.0.1 - - [20/Mar/2024:18:01:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:01:25 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:01:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:01:30 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:01:30 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3931
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:01:34 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:01:34 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3931
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:23 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:24 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:25 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:29 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:29 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:29 +0530] "GET /criminal/css/index.css HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:37 +0530] "GET /criminal/crimes.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:37 +0530] "GET /criminal/css/crimes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:41 +0530] "GET /criminal/fir.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:41 +0530] "GET /criminal/css/fir.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:50 +0530] "GET /criminal/fir.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:50 +0530] "GET /criminal/css/fir.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:58 +0530] "GET /criminal/editfir.jsp?firid=7 HTTP/1.1" 200 4491
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:02:58 +0530] "GET /criminal/fir.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:06 +0530] "POST /criminal/update_fir HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:06 +0530] "GET /criminal/fir.jsp HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:07 +0530] "GET /criminal/css/fir.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:10 +0530] "GET /criminal/fir.jsp HTTP/1.1" 200 4228
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:10 +0530] "GET /criminal/css/fir.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:23 +0530] "GET /criminal/crimes.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:49 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:49 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:03:52 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:04:40 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:04:40 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:04:43 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:04:43 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:04:45 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:05:11 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:05:11 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:05:42 +0530] "GET /criminal/crimes.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:05:48 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:05:48 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
