127.0.0.1 - - [01/Jun/2024:19:30:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:11 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:18 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:18 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:18 +0530] "GET /criminal/css/index.css HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:22 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:34 +0530] "GET /criminal/crimes.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:35 +0530] "GET /criminal/css/crimes.css HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:37 +0530] "GET /criminal/add_crime.jsp HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:37 +0530] "GET /criminal/crimes.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:41 +0530] "POST /criminal/add_crime HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:30:41 +0530] "GET /criminal/crimes.jsp HTTP/1.1" 200 6119
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:09 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:10 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:13 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:13 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:20 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:20 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:22 +0530] "GET /criminal/crimes.jsp HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:26 +0530] "GET /criminal/fir.jsp HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:26 +0530] "GET /criminal/css/fir.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:28 +0530] "GET /criminal/add_fir.jsp HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:28 +0530] "GET /criminal/fir.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:32 +0530] "POST /criminal/add_fir HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:33 +0530] "GET /criminal/fir.jsp HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:47:33 +0530] "GET /criminal/css/fir.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:53:08 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:53:11 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:53:12 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:53:14 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:53:14 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:53:17 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:53:17 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [01/Jun/2024:19:53:21 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4331
